ppm,val
-1.652224,0.001557
-1.651827,0.001550
-1.651431,0.001545
-1.651034,0.001542
-1.650638,0.001543
-1.650241,0.001547
-1.649845,0.001553
-1.649448,0.001552
-1.649052,0.001537
-1.648656,0.001515
-1.648259,0.001500
-1.647863,0.001486
-1.647466,0.001467
-1.647070,0.001453
-1.646673,0.001457
-1.646277,0.001469
-1.645880,0.001463
-1.645484,0.001443
-1.645087,0.001431
-1.644691,0.001434
-1.644295,0.001433
-1.643898,0.001421
-1.643502,0.001415
-1.643105,0.001423
-1.642709,0.001426
-1.642312,0.001413
-1.641916,0.001402
-1.641519,0.001401
-1.641123,0.001397
-1.640726,0.001376
-1.640330,0.001358
-1.639933,0.001364
-1.639537,0.001384
-1.639141,0.001388
-1.638744,0.001371
-1.638348,0.001352
-1.637951,0.001342
-1.637555,0.001336
-1.637158,0.001331
-1.636762,0.001331
-1.636365,0.001331
-1.635969,0.001324
-1.635572,0.001312
-1.635176,0.001304
-1.634780,0.001297
-1.634383,0.001286
-1.633987,0.001278
-1.633590,0.001280
-1.633194,0.001290
-1.632797,0.001292
-1.632401,0.001285
-1.632004,0.001278
-1.631608,0.001271
-1.631211,0.001259
-1.630815,0.001250
-1.630418,0.001252
-1.630022,0.001261
-1.629626,0.001255
-1.629229,0.001231
-1.628833,0.001208
-1.628436,0.001198
-1.628040,0.001196
-1.627643,0.001195
-1.627247,0.001196
-1.626850,0.001202
-1.626454,0.001204
-1.626057,0.001198
-1.625661,0.001190
-1.625264,0.001188
-1.624868,0.001183
-1.624472,0.001171
-1.624075,0.001158
-1.623679,0.001151
-1.623282,0.001146
-1.622886,0.001135
-1.622489,0.001118
-1.622093,0.001104
-1.621696,0.001099
-1.621300,0.001104
-1.620903,0.001114
-1.620507,0.001120
-1.620111,0.001112
-1.619714,0.001090
-1.619318,0.001071
-1.618921,0.001071
-1.618525,0.001090
-1.618128,0.001108
-1.617732,0.001105
-1.617335,0.001083
-1.616939,0.001061
-1.616542,0.001058
-1.616146,0.001075
-1.615749,0.001088
-1.615353,0.001080
-1.614957,0.001058
-1.614560,0.001042
-1.614164,0.001040
-1.613767,0.001037
-1.613371,0.001025
-1.612974,0.001011
-1.612578,0.001002
-1.612181,0.000997
-1.611785,0.000992
-1.611388,0.000989
-1.610992,0.000986
-1.610596,0.000977
-1.610199,0.000968
-1.609803,0.000969
-1.609406,0.000980
-1.609010,0.000981
-1.608613,0.000965
-1.608217,0.000946
-1.607820,0.000942
-1.607424,0.000945
-1.607027,0.000943
-1.606631,0.000934
-1.606234,0.000928
-1.605838,0.000921
-1.605442,0.000907
-1.605045,0.000896
-1.604649,0.000900
-1.604252,0.000910
-1.603856,0.000904
-1.603459,0.000885
-1.603063,0.000872
-1.602666,0.000871
-1.602270,0.000867
-1.601873,0.000853
-1.601477,0.000842
-1.601080,0.000848
-1.600684,0.000861
-1.600288,0.000870
-1.599891,0.000873
-1.599495,0.000873
-1.599098,0.000865
-1.598702,0.000846
-1.598305,0.000830
-1.597909,0.000828
-1.597512,0.000831
-1.597116,0.000827
-1.596719,0.000816
-1.596323,0.000809
-1.595927,0.000806
-1.595530,0.000799
-1.595134,0.000791
-1.594737,0.000791
-1.594341,0.000794
-1.593944,0.000790
-1.593548,0.000777
-1.593151,0.000766
-1.592755,0.000766
-1.592358,0.000771
-1.591962,0.000771
-1.591565,0.000769
-1.591169,0.000770
-1.590773,0.000773
-1.590376,0.000770
-1.589980,0.000759
-1.589583,0.000744
-1.589187,0.000731
-1.588790,0.000723
-1.588394,0.000720
-1.587997,0.000719
-1.587601,0.000715
-1.587204,0.000704
-1.586808,0.000692
-1.586412,0.000689
-1.586015,0.000701
-1.585619,0.000718
-1.585222,0.000720
-1.584826,0.000700
-1.584429,0.000671
-1.584033,0.000654
-1.583636,0.000652
-1.583240,0.000653
-1.582843,0.000651
-1.582447,0.000651
-1.582050,0.000657
-1.581654,0.000664
-1.581258,0.000666
-1.580861,0.000660
-1.580465,0.000648
-1.580068,0.000633
-1.579672,0.000622
-1.579275,0.000628
-1.578879,0.000643
-1.578482,0.000642
-1.578086,0.000615
-1.577689,0.000587
-1.577293,0.000590
-1.576896,0.000617
-1.576500,0.000629
-1.576104,0.000605
-1.575707,0.000575
-1.575311,0.000568
-1.574914,0.000579
-1.574518,0.000581
-1.574121,0.000571
-1.573725,0.000567
