ppm,val
-3.275695,0.000355
-3.275205,0.000359
-3.274716,0.000353
-3.274227,0.000347
-3.273738,0.000351
-3.273249,0.000363
-3.272759,0.000355
-3.272270,0.000343
-3.271781,0.000352
-3.271292,0.000355
-3.270803,0.000349
-3.270313,0.000348
-3.269824,0.000353
-3.269335,0.000346
-3.268846,0.000347
-3.268357,0.000364
-3.267867,0.000357
-3.267378,0.000347
-3.266889,0.000349
-3.266400,0.000357
-3.265911,0.000351
-3.265421,0.000354
-3.264932,0.000358
-3.264443,0.000357
-3.263954,0.000355
-3.263465,0.000347
-3.262975,0.000349
-3.262486,0.000357
-3.261997,0.000355
-3.261508,0.000351
-3.261019,0.000352
-3.260529,0.000349
-3.260040,0.000363
-3.259551,0.000361
-3.259062,0.000348
-3.258573,0.000348
-3.258083,0.000352
-3.257594,0.000349
-3.257105,0.000355
-3.256616,0.000354
-3.256127,0.000355
-3.255637,0.000351
-3.255148,0.000340
-3.254659,0.000344
-3.254170,0.000349
-3.253681,0.000351
-3.253191,0.000347
-3.252702,0.000349
-3.252213,0.000352
-3.251724,0.000353
-3.251235,0.000344
-3.250745,0.000352
-3.250256,0.000351
-3.249767,0.000355
-3.249278,0.000358
-3.248789,0.000355
-3.248299,0.000356
-3.247810,0.000350
-3.247321,0.000352
-3.246832,0.000359
-3.246343,0.000342
-3.245853,0.000344
-3.245364,0.000351
-3.244875,0.000351
-3.244386,0.000349
-3.243897,0.000359
-3.243407,0.000352
-3.242918,0.000345
-3.242429,0.000349
-3.241940,0.000347
-3.241451,0.000346
-3.240961,0.000349
-3.240472,0.000338
-3.239983,0.000343
-3.239494,0.000343
-3.239005,0.000351
-3.238515,0.000351
-3.238026,0.000361
-3.237537,0.000358
-3.237048,0.000352
-3.236559,0.000358
-3.236069,0.000355
-3.235580,0.000358
-3.235091,0.000351
-3.234602,0.000355
-3.234113,0.000345
-3.233623,0.000345
-3.233134,0.000351
-3.232645,0.000340
-3.232156,0.000341
-3.231667,0.000334
-3.231177,0.000334
-3.230688,0.000345
-3.230199,0.000351
-3.229710,0.000352
-3.229221,0.000342
-3.228731,0.000334
-3.228242,0.000350
-3.227753,0.000355
-3.227264,0.000351
-3.226775,0.000355
-3.226285,0.000346
-3.225796,0.000342
-3.225307,0.000347
-3.224818,0.000351
-3.224329,0.000342
-3.223839,0.000344
-3.223350,0.000347
-3.222861,0.000341
-3.222372,0.000345
-3.221883,0.000343
-3.221393,0.000347
-3.220904,0.000345
-3.220415,0.000339
-3.219926,0.000332
-3.219437,0.000334
-3.218947,0.000337
-3.218458,0.000333
-3.217969,0.000340
-3.217480,0.000351
-3.216991,0.000344
-3.216501,0.000347
-3.216012,0.000333
-3.215523,0.000347
-3.215034,0.000342
-3.214545,0.000337
-3.214055,0.000339
-3.213566,0.000352
-3.213077,0.000330
-3.212588,0.000322
-3.212099,0.000354
-3.211609,0.000352
-3.211120,0.000340
-3.210631,0.000343
-3.210142,0.000342
-3.209653,0.000344
-3.209163,0.000340
-3.208674,0.000339
-3.208185,0.000346
-3.207696,0.000338
-3.207207,0.000331
-3.206717,0.000331
-3.206228,0.000332
-3.205739,0.000334
-3.205250,0.000331
-3.204761,0.000333
-3.204271,0.000338
-3.203782,0.000345
-3.203293,0.000354
-3.202804,0.000334
-3.202315,0.000345
-3.201825,0.000339
-3.201336,0.000331
-3.200847,0.000331
-3.200358,0.000330
-3.199869,0.000326
-3.199379,0.000335
-3.198890,0.000348
-3.198401,0.000351
-3.197912,0.000340
-3.197423,0.000338
-3.196933,0.000338
-3.196444,0.000346
-3.195955,0.000335
-3.195466,0.000342
-3.194977,0.000347
-3.194487,0.000337
-3.193998,0.000336
-3.193509,0.000337
-3.193020,0.000325
-3.192531,0.000328
-3.192041,0.000329
-3.191552,0.000340
-3.191063,0.000347
-3.190574,0.000344
-3.190085,0.000343
-3.189595,0.000339
-3.189106,0.000335
-3.188617,0.000324
-3.188128,0.000345
-3.187639,0.000351
-3.187149,0.000344
-3.186660,0.000351
-3.186171,0.000340
-3.185682,0.000341
-3.185193,0.000343
-3.184703,0.000341
-3.184214,0.000337
-3.183725,0.000336
-3.183236,0.000341
-3.182747,0.000332
-3.182257,0.000325
-3.181768,0.000327
-3.181279,0.000325
-3.180790,0.000331
-3.180301,0.000330
-3.179812,0.000343
-3.179322,0.000340
-3.178833,0.000332
-3.178344,0.000334
-3.177855,0.000325
-3.177366,0.000324
