ppm	val
1.74434	0.0633233	
1.74459	-0.035392	
1.74483	-0.134107	
1.74507	-0.0953135	
1.74532	-0.0565197	
1.74556	0.00781822	
1.7458	0.0721562	
1.74605	0.0601003	
1.74629	0.0480444	
1.74653	0.0713208	
1.74677	0.0945971	
1.74702	0.0796764	
1.74726	-0.0880322	
1.7475	-0.142105	
1.74775	0.0177257	
1.74799	0.211933	
1.74823	0.131123	
1.74848	-0.101521	
1.74872	-0.181376	
1.74896	-0.129452	
1.74921	-0.0775282	
1.74945	-0.108981	
1.74969	-0.0487611	
1.74993	0.0974021	
1.75018	0.0907774	
1.75042	-0.0495369	
1.75066	-0.0981784	
1.75091	0.00596809	
1.75115	0.0184417	
1.75139	-0.127363	
1.75164	-0.12038	
1.75188	0.0603988	
1.75212	0.149505	
1.75236	-0.00966883	
1.75261	-0.168843	
1.75285	-0.058728	
1.75309	0.0513866	
1.75334	-0.0101464	
1.75358	-0.0716791	
1.75382	0.0195758	
1.75407	0.110831	
1.75431	0.0301993	
1.75455	-0.0504322	
1.7548	0.0828395	
1.75504	0.216111	
1.75528	0.100864	
1.75552	-0.0143838	
1.75577	-0.0379584	
1.75601	-0.0615332	
1.75625	-0.0812881	
1.7565	-0.101043	
1.75674	-0.0291255	
1.75698	0.0427923	
1.75723	0.0713208	
1.75747	0.0998492	
1.75771	0.0367048	
1.75796	-0.0264397	
1.7582	-0.120142	
1.75844	-0.213844	
1.75868	-0.0936425	
1.75893	0.0265586	
1.75917	0.0543709	
1.75941	0.0821831	
1.75966	0.0240519	
1.7599	-0.0340791	
1.76014	-0.0482836	
1.76039	0.0291846	
1.76063	0.150579	
1.76087	0.119186	
1.76111	-0.0712018	
1.76136	-0.108802	
1.7616	0.0846896	
1.76184	0.186508	
1.76209	0.0686946	
1.76233	-0.0491192	
1.76257	0.0966263	
1.76282	0.242372	
1.76306	0.104743	
1.7633	-0.124558	
1.76355	-0.153325	
1.76379	0.0318108	
1.76403	0.11286	
1.76427	0.102237	
1.76452	0.110711	
1.76476	0.119186	
1.765	0.00710201	
1.76525	-0.104982	
1.76549	-0.00316334	
1.76573	0.0986555	
1.76598	0.0610552	
1.76622	0.0234551	
1.76646	0.0316913	
1.7667	0.0399275	
1.76695	-0.0318112	
1.76719	-0.10355	
1.76743	-0.0225005	
1.76768	0.0585487	
1.76792	0.0708432	
1.76816	0.083138	
1.76841	0.0954325	
1.76865	0.107727	
1.76889	0.0615327	
1.76914	0.0153382	
1.76938	0.0149801	
1.76962	0.014622	
1.76986	-0.00387955	
1.77011	-0.0223813	
1.77035	-0.0103254	
1.77059	0.0934033	
1.77084	0.125751	
1.77108	0.00531149	
1.77132	-0.109399	
1.77157	-0.0713212	
1.77181	0.0908966	
1.77205	0.253114	
1.77229	0.210979	
1.77254	0.168842	
1.77278	0.0814669	
1.77302	-0.00590873	
1.77327	0.0595036	
1.77351	0.124916	
1.77375	0.0719175	
1.774	0.0189192	
1.77424	0.0575936	
1.77448	0.0962682	
1.77473	0.114412	
1.77497	0.132555	
1.77521	0.0647557	
1.77545	-0.00304413	
1.7757	-0.042196	
1.77594	0.010325	
1.77618	0.0265586	
1.77643	-0.0488803	
1.77667	-0.148909	
1.77691	-0.0961492	
1.77716	0.00626659	
1.7774	-0.0441058	
1.77764	-0.212889	
1.77788	-0.228884	
1.77813	-0.0710824	
1.77837	0.0867188	
1.77861	0.00722146	
1.77886	-0.163949	
1.7791	-0.104027	
1.77934	0.108682	
1.77959	0.192477	
1.77983	0.123483	
1.78007	0.0525804	
1.78032	0.07335	
1.78056	0.0954325	
1.7808	0.117515	
1.78104	0.0536547	
1.78129	-0.010206	
1.78153	0.0204711	
1.78177	0.0511479	
1.78202	-0.00984788	
1.78226	-0.0708437	
1.7825	-0.0974622	
1.78275	-0.124081	
1.78299	-0.0590265	
1.78323	0.0060277	
1.78348	-0.0119965	
1.78372	-0.0300207	
1.78396	0.043628	
1.7842	0.117276	
1.78445	0.0429118	
1.78469	-0.0314531	
1.78493	-0.0599813	
1.78518	-0.0885098	
1.78542	-0.043509	
1.78566	0.00149179	
1.78591	0.0464928	
1.78615	0.0914936	
1.78639	0.0304978	
1.78663	-0.030498	
1.78688	0.0612941	
1.78712	0.153086	
1.78736	0.0834961	
1.78761	0.013906	
1.78785	0.0512674	
1.78809	-0.00304413	
1.78834	-0.107489	
1.78858	-0.0591459	
1.78882	0.101878	
1.78907	0.17123	
1.78931	0.0352724	
1.78955	-0.100685	
1.78979	-0.0284688	
1.79004	0.0437472	
1.79028	0.0185611	
1.79052	-0.00662494	
1.79077	0.0598617	
1.79101	0.126348	
1.79125	0.0209484	
1.7915	-0.0844514	
1.79174	-0.0370631	
1.79198	0.010325	
1.79222	-0.0134289	
1.79247	-0.0371826	
1.79271	0.0307364	
1.79295	0.0986555	
1.7932	0.00423717	
1.79344	-0.0901809	
1.79368	-0.0929263	
1.79393	-0.0956717	
1.79417	-0.0592651	
1.79441	-0.0228586	
1.79466	0.0135479	
1.7949	0.0499544	
1.79514	-0.041599	
1.79538	-0.133152	
1.79563	-0.0108027	
1.79587	0.111547	
1.79611	0.0254843	
1.79636	-0.0605185	
1.7966	0.00620675	
1.79684	0.0729918	
1.79709	0.0757372	
1.79733	0.0785425	
1.79757	0.0354514	
1.79781	-0.0075798	
1.79806	-0.0315723	
1.7983	-0.0555053	
1.79854	0.0121751	
1.79879	0.079915	
1.79903	-0.0309756	
1.79927	-0.141807	
1.79952	-0.0999093	
1.79976	-0.0579522	
1.8	-0.0462544	
1.80025	-0.0344968	
1.80049	-0.022799	
1.80073	-0.0110414	
1.80097	-0.0509095	
1.80122	-0.090718	
1.80146	-0.0389135	
1.8017	0.0129509	
1.80195	-0.0825415	
1.80219	-0.177974	
1.80243	-0.0595636	
1.80268	0.0589068	
1.80292	-0.0423152	
1.80316	-0.143478	
1.80341	-0.0880921	
1.80365	0.059026	
1.80389	0.0154576	
1.80413	-0.119784	
1.80438	-0.140434	
1.80462	-0.00829601	
1.80486	0.0531771	
1.80511	-0.0381374	
1.80535	-0.119903	
1.80559	-0.0488803	
1.80584	0.0481639	
1.80608	0.145208	
1.80632	0.0990136	
1.80656	-0.0388536	
1.80681	-0.149983	
1.80705	-0.108325	
1.80729	0.0460153	
1.80754	0.108682	
1.80778	0.0122347	
1.80802	-0.0842125	
1.80827	-0.0336015	
1.80851	0.0170095	
1.80875	-0.0278721	
1.809	-0.0727534	
1.80924	-0.0259621	
1.80948	0.0208292	
1.80972	-0.0240524	
1.80997	-0.0689337	
1.81021	0.0389726	
1.81045	0.146879	
1.8107	0.0370629	
1.81094	-0.0727534	
1.81118	0.0198741	
1.81143	0.112502	
1.81167	0.128556	
1.81191	-0.0386746	
1.81215	-0.120022	
1.8124	-0.0179646	
1.81264	0.0458362	
1.81288	0.018024	
1.81313	0.0531771	
1.81337	0.0883901	
1.81361	0.0882111	
1.81386	0.0880916	
1.8141	-0.0037601	
1.81434	-0.0955524	
1.81459	-0.0919118	
1.81483	-0.0882113	
1.81507	-0.0845706	
1.81531	-0.0808704	
1.81556	-0.0719776	
1.8158	-0.0630252	
1.81604	0.0375402	
1.81629	0.138165	
1.81653	0.0324671	
1.81677	-0.0731714	
1.81702	-0.0260816	
1.81726	0.0210679	
1.8175	0.0189788	
1.81774	0.0169497	
1.81799	0.0148609	
1.81823	0.0128317	
1.81847	-0.0599217	
1.81872	-0.132615	
1.81896	-0.0525808	
1.8192	0.0275135	
1.81945	-0.0562811	
1.81969	-0.140076	
1.81993	-0.132198	
1.82018	-0.12432	
1.82042	-0.160368	
1.82066	-0.196416	
1.8209	-0.0796766	
1.82115	0.0370629	
1.82139	0.013906	
1.82163	-0.00925112	
1.82188	-0.032408	
1.82212	-0.0555649	
1.82236	-0.0825415	
1.82261	-0.109518	
1.82285	-0.044822	
1.82309	0.0198741	
1.82334	0.0406437	
1.82358	0.0614133	
1.82382	0.0821831	
1.82406	0.102953	
1.82431	0.112263	
1.82455	0.121574	
1.82479	0.130884	
1.82504	0.140195	
1.82528	-0.0214262	
1.82552	-0.183047	
1.82577	-0.0142643	
1.82601	0.154519	
1.82625	0.0998492	
1.82649	-0.0464931	
1.82674	-0.0457768	
1.82698	0.046612	
1.82722	-0.0701871	
1.82747	-0.278659	
1.82771	-0.269408	
1.82795	-0.076812	
1.8282	0.0852268	
1.82844	0.06392	
1.82868	0.0598021	
1.82893	0.0556839	
1.82917	0.0296025	
1.82941	-0.0881517	
1.82965	-0.257472	
1.8299	-0.243446	
1.83014	-0.130109	
1.83038	-0.0167711	
1.83063	-0.0447624	
1.83087	-0.0727534	
1.83111	-0.12975	
1.83136	-0.186748	
1.8316	-0.0355711	
1.83184	0.115605	
1.83208	0.0547886	
1.83233	-0.0977008	
1.83257	-0.154698	
1.83281	-0.0283496	
1.83306	0.0528789	
1.8333	0.0424342	
1.83354	0.00334215	
1.83379	-0.0357502	
1.83403	-0.0595636	
1.83427	-0.0833771	
1.83452	-0.0155177	
1.83476	0.0523417	
1.835	0.0253649	
1.83524	-0.00161171	
1.83549	-0.0285883	
1.83573	-0.0555649	
1.83597	-0.038615	
1.83622	-0.0216651	
1.83646	-0.0047152	
1.8367	0.0122347	
1.83695	0.00841498	
1.83719	0.00459528	
1.83743	0.000775576	
1.83767	-0.00304413	
1.83792	-0.00113416	
1.83816	0.000775576	
1.8384	0.00268555	
1.83865	0.00459528	
1.83889	-0.0552068	
1.83913	-0.115009	
1.83938	-0.0831382	
1.83962	-0.0512676	
1.83986	0.0589068	
1.84011	0.169081	
1.84035	0.0653524	
1.84059	-0.0383763	
1.84083	-0.113457	
1.84108	-0.188538	
1.84132	-0.110831	
1.84156	-0.0331242	
1.84181	-0.00889301	
1.84205	0.0153382	
1.84229	-0.0463738	
1.84254	-0.108086	
1.84278	-0.0914342	
1.84302	0.01689	
1.84327	0.0965667	
1.84351	-0.00710249	
1.84375	-0.143239	
1.84399	-0.0960298	
1.84424	0.0982378	
1.84448	0.10916	
1.84472	-0.0377197	
1.84497	-0.0929263	
1.84521	0.00274515	
1.84545	0.0984168	
1.8457	0.0546691	
1.84594	0.0109217	
1.84618	0.058847	
1.84642	0.106772	
1.84667	0.0587277	
1.84691	0.0106831	
1.84715	0.054311	
1.8474	0.0979393	
1.84764	0.00405812	
1.84788	-0.0898228	
1.84813	0.0301993	
1.84837	0.150221	
1.84861	0.0670834	
1.84886	-0.0160549	
1.8491	-0.0075202	
1.84934	0.00101447	
1.84958	-0.00572968	
1.84983	-0.0124738	
1.85007	-0.019218	
1.85031	-0.0259621	
1.85056	-0.00734115	
1.8508	0.0112798	
1.85104	0.0299008	
1.85129	0.048522	
1.85153	-0.0512676	
1.85177	-0.151057	
1.85201	-0.0923295	
1.85226	-0.0336015	
1.8525	-0.0818253	
1.85274	-0.0383763	
1.85299	0.148312	
1.85323	0.151654	
1.85347	-0.0264397	
1.85372	-0.204533	
1.85396	-0.0579522	
1.8542	0.0886288	
1.85445	0.0332432	
1.85469	-0.0221424	
1.85493	0.0695302	
1.85517	0.161203	
1.85542	0.0981779	
1.85566	-0.0565197	
1.8559	-0.0603395	
1.85615	0.119186	
1.85639	0.123006	
1.85663	-0.0565197	
1.85688	-0.138643	
1.85712	-0.0374212	
1.85736	0.00650525	
1.8576	-0.0412409	
1.85785	-0.0259621	
1.85809	-0.0106833	
1.85833	-0.0627866	
1.85858	-0.11489	
1.85882	-0.0753198	
1.85906	-0.0357502	
1.85931	-0.0133691	
1.85955	0.00901198	
1.85979	-0.0602798	
1.86004	-0.129571	
1.86028	-0.0780654	
1.86052	-0.0265591	
1.86076	0.11662	
1.86101	0.259799	
1.86125	0.175706	
1.86149	0.0916128	
1.86174	0.00751972	
1.86198	-0.0765731	
1.86222	0.000477314	
1.86247	0.0775278	
1.86271	0.00179029	
1.86295	-0.0739472	
1.86319	-0.0541921	
1.86344	-0.0344372	
1.86368	-0.0146821	
1.86392	0.00507283	
1.86417	-0.0780654	
1.86441	-0.161203	
1.86465	-0.0915537	
1.8649	-0.0219038	
1.86514	-0.0324676	
1.86538	-0.0430315	
1.86563	-0.0535953	
1.86587	-0.0641592	
1.86611	0.00859404	
1.86635	0.0813475	
1.8666	0.119724	
1.86684	0.0664268	
1.86708	-0.0556245	
1.86733	-0.0860031	
1.86757	-0.0189793	
1.86781	-0.0436282	
1.86806	-0.15064	
1.8683	-0.0743053	
1.86854	0.0937018	
1.86879	0.0783634	
