ppm	val
1.83046	-0.170978	
1.83064	-0.178238	
1.83083	-0.167807	
1.83101	-0.194872	
1.8312	-0.175989	
1.83138	-0.177832	
1.83156	-0.196149	
1.83175	-0.15517	
1.83193	-0.197981	
1.83211	-0.207552	
1.8323	-0.192695	
1.83248	-0.190325	
1.83267	-0.181335	
1.83285	-0.19702	
1.83303	-0.189902	
1.83322	-0.199072	
1.8334	-0.202823	
1.83359	-0.19441	
1.83377	-0.204311	
1.83395	-0.206576	
1.83414	-0.184647	
1.83432	-0.177506	
1.8345	-0.197645	
1.83469	-0.203481	
1.83487	-0.184759	
1.83506	-0.187343	
1.83524	-0.188515	
1.83542	-0.166221	
1.83561	-0.197546	
1.83579	-0.187086	
1.83598	-0.167579	
1.83616	-0.192254	
1.83634	-0.17606	
1.83653	-0.164762	
1.83671	-0.143421	
1.83689	-0.170475	
1.83708	-0.196237	
1.83726	-0.17586	
1.83745	-0.178337	
1.83763	-0.150746	
1.83781	-0.152667	
1.838	-0.166568	
1.83818	-0.167646	
1.83836	-0.165011	
1.83855	-0.157959	
1.83873	-0.201039	
1.83892	-0.196105	
1.8391	-0.169614	
1.83928	-0.187973	
1.83947	-0.188801	
1.83965	-0.195409	
1.83984	-0.194395	
1.84002	-0.179362	
1.8402	-0.188442	
1.84039	-0.189611	
1.84057	-0.177143	
1.84075	-0.186716	
1.84094	-0.199878	
1.84112	-0.19936	
1.84131	-0.188572	
1.84149	-0.172572	
1.84167	-0.190549	
1.84186	-0.202109	
1.84204	-0.190148	
1.84223	-0.196865	
1.84241	-0.19397	
1.84259	-0.191152	
1.84278	-0.17773	
1.84296	-0.158356	
1.84314	-0.175375	
1.84333	-0.17764	
1.84351	-0.164721	
1.8437	-0.194004	
1.84388	-0.190185	
1.84406	-0.153113	
1.84425	-0.170117	
1.84443	-0.170791	
1.84462	-0.17815	
1.8448	-0.184339	
1.84498	-0.166631	
1.84517	-0.177829	
1.84535	-0.165516	
1.84553	-0.180398	
1.84572	-0.165711	
1.8459	-0.138658	
1.84609	-0.172357	
1.84627	-0.156748	
1.84645	-0.136505	
1.84664	-0.132778	
1.84682	-0.144404	
1.84701	-0.158075	
1.84719	-0.148665	
1.84737	-0.129748	
1.84756	-0.112401	
1.84774	-0.142787	
1.84792	-0.138043	
1.84811	-0.122377	
1.84829	-0.147051	
1.84848	-0.130942	
1.84866	-0.115661	
1.84884	-0.115045	
1.84903	-0.103455	
1.84921	-0.119602	
1.8494	-0.141375	
1.84958	-0.151878	
1.84976	-0.143012	
1.84995	-0.126799	
1.85013	-0.144589	
1.85031	-0.142754	
1.8505	-0.135356	
1.85068	-0.135377	
1.85087	-0.140295	
1.85105	-0.161137	
1.85123	-0.169408	
1.85142	-0.185328	
1.8516	-0.156856	
1.85179	-0.155192	
1.85197	-0.176988	
1.85215	-0.161115	
1.85234	-0.185074	
1.85252	-0.164473	
1.8527	-0.150268	
1.85289	-0.177933	
1.85307	-0.163498	
1.85326	-0.160593	
1.85344	-0.170768	
1.85362	-0.177063	
1.85381	-0.187226	
1.85399	-0.181238	
1.85417	-0.165593	
1.85436	-0.174964	
1.85454	-0.20324	
1.85473	-0.196625	
1.85491	-0.151499	
1.85509	-0.159139	
1.85528	-0.174792	
1.85546	-0.169525	
1.85565	-0.181486	
1.85583	-0.146318	
1.85601	-0.141419	
1.8562	-0.148599	
1.85638	-0.14949	
1.85656	-0.166873	
1.85675	-0.149069	
1.85693	-0.151491	
1.85712	-0.144573	
1.8573	-0.153478	
1.85748	-0.138303	
1.85767	-0.102053	
1.85785	-0.120621	
1.85804	-0.115042	
1.85822	-0.124894	
1.8584	-0.110526	
1.85859	-0.0786906	
1.85877	-0.0826294	
1.85895	-0.0744324	
1.85914	-0.0849996	
1.85932	-0.0725142	
1.85951	-0.0597421	
1.85969	-0.079578	
