ppm	val
1.68308	0.000226328	
1.68332	0.00325783	
1.68357	0.00313353	
1.68381	0.00106973	
1.68406	0.00216172	
1.6843	0.00389526	
1.68455	0.00247299	
1.68479	0.00114934	
1.68504	0.00298149	
1.68528	0.00229887	
1.68552	3.8336e-05	
1.68577	0.00195267	
1.68601	0.00386701	
1.68626	0.0011668	
1.6865	0.0016224	
1.68675	0.00303132	
1.68699	0.00286233	
1.68724	0.00348229	
1.68748	0.00410226	
1.68773	0.00288133	
1.68797	0.00166041	
1.68822	0.00171229	
1.68846	0.00334207	
1.6887	0.00464312	
1.68895	0.00278837	
1.68919	0.00198555	
1.68944	0.00276063	
1.68968	0.00268101	
1.68993	0.0041793	
1.69017	0.00483522	
1.69042	0.00233533	
1.69066	0.00302413	
1.69091	0.00371292	
1.69115	0.0034977	
1.6914	0.00328249	
1.69164	0.00306727	
1.69188	0.00285206	
1.69213	0.00227678	
1.69237	0.0017015	
1.69262	0.00349308	
1.69286	0.00528466	
1.69311	0.00352595	
1.69335	0.00176725	
1.6936	0.00184943	
1.69384	0.00193161	
1.69409	0.00172205	
1.69433	0.00151248	
1.69458	0.00140154	
1.69482	0.00129059	
1.69506	0.000209892	
1.69531	0.000707095	
1.69555	0.00288082	
1.6958	0.00189874	
1.69604	0.00189155	
1.69629	0.00188436	
1.69653	0.000693741	
1.69678	0.00265893	
1.69702	0.00181348	
1.69727	0.000968025	
1.69751	0.00321263	
1.69776	0.00230143	
1.698	-0.000721852	
1.69825	0.00151454	
1.69849	0.00148269	
1.69873	-0.000127056	
1.69898	0.00110671	
1.69922	0.00234047	
1.69947	0.0021607	
1.69971	0.00198092	
1.69996	0.00228037	
1.7002	0.00257983	
1.70045	0.00156436	
1.70069	0.000548894	
1.70094	0.00209752	
1.70118	0.00364614	
1.70143	0.00230195	
1.70167	0.000957752	
1.70191	0.00213245	
1.70216	0.00330714	
1.7024	0.00264095	
1.70265	0.00197476	
1.70289	0.00252487	
1.70314	0.00307498	
1.70338	0.00283613	
1.70363	0.00259729	
1.70387	0.0013548	
1.70412	0.0001123	
1.70436	0.000710691	
1.70461	0.00130908	
1.70485	0.00197322	
1.70509	0.00263736	
1.70534	0.00251254	
1.70558	0.00238773	
1.70583	0.00174105	
1.70607	0.00109438	
1.70632	0.00334053	
1.70656	0.00243087	
1.70681	-0.000714147	
1.70705	0.00140051	
1.7073	0.00282483	
1.70754	0.00109335	
1.70779	0.00195781	
1.70803	0.00124436	
1.70827	0.00056379	
1.70852	0.00303902	
1.70876	0.00419933	
1.70901	0.00220384	
1.70925	0.00139178	
1.7095	0.000579712	
1.70974	0.00147293	
1.70999	0.00236615	
1.71023	0.00247042	
1.71048	0.00257469	
1.71072	0.00167633	
1.71097	0.000777978	
1.71121	0.00139178	
1.71146	0.00200558	
1.7117	0.000254578	
1.71194	0.00165938	
1.71219	0.00217662	
1.71243	0.00111595	
1.71268	0.00220847	
1.71292	0.00330098	
1.71317	0.00297995	
1.71341	0.00265893	
1.71366	0.00205437	
1.7139	0.00144982	
1.71415	0.00163422	
1.71439	0.00181861	
1.71464	0.00113188	
1.71488	0.000445139	
1.71512	0.00107332	
1.71537	0.0017015	
1.71561	0.00187357	
1.71586	0.00204564	
1.7161	0.00221771	
1.71635	0.00238978	
1.71659	0.00272621	
1.71684	0.00306265	
1.71708	0.00208416	
1.71733	0.00110568	
1.71757	0.00135171	
1.71782	0.00159775	
1.71806	0.00184378	
1.7183	0.00208981	
1.71855	0.00159621	
1.71879	0.0011026	
1.71904	0.00192391	
1.71928	0.00274522	
1.71953	0.00228859	
1.71977	0.00183197	
1.72002	0.00170407	
1.72026	0.00315408	
1.72051	0.00254952	
1.72075	0.000367065	
1.721	0.000584336	
1.72124	0.000801605	
1.72149	-0.000164552	
1.72173	0.000447193	
1.72197	0.00105894	
1.72222	9.27816e-05	
1.72246	0.000162123	
1.72271	0.000231464	
1.72295	0.00151711	
1.7232	0.00280275	
1.72344	0.00206311	
1.72369	0.00132346	
1.72393	0.00226034	
1.72418	0.00161932	
1.72442	0.00101117	
1.72467	0.000403021	
1.72491	2.49813e-05	
1.72515	0.00122484	
1.7254	0.00104815	
1.72564	-0.000706442	
1.72589	0.000892006	
1.72613	0.00249045	
1.72638	0.00210009	
1.72662	0.00170972	
1.72687	0.000431784	
1.72711	0.00073175	
1.72736	0.0011139	
1.7276	0.00149605	
1.72785	0.00237129	
1.72809	0.000616695	
1.72833	-0.000151711	
1.72858	0.00276166	
1.72882	0.00143441	
1.72907	0.000107164	
1.72931	0.0021494	
1.72956	0.00156179	
1.7298	0.000974188	
1.73005	0.00301642	
1.73029	0.0018371	
1.73054	0.000657786	
1.73078	0.00131935	
1.73103	0.000403021	
1.73127	0.000867865	
1.73151	0.00133271	
1.73176	0.000811364	
1.732	0.00186792	
1.73225	0.00218484	
1.73249	0.00250175	
1.73274	0.00212834	
1.73298	0.00175492	
1.73323	0.00284846	
1.73347	0.003942	
1.73372	0.00266869	
1.73396	0.00139537	
1.73421	0.00174927	
1.73445	0.00210317	
1.7347	0.00334464	
1.73494	0.0030082	
1.73518	0.00233277	
1.73543	0.00165733	
1.73567	2.85767e-05	
1.73592	0.00102966	
1.73616	0.00184994	
1.73641	4.03905e-05	
1.73665	0.000827801	
1.7369	0.00161521	
1.73714	-0.000272417	
1.73739	0.000469794	
1.73763	0.00200095	
1.73788	0.000902278	
1.73812	0.00164449	
1.73836	0.0023867	
1.73861	0.00112366	
1.73885	0.00143852	
1.7391	0.00227524	
1.73934	0.000482121	
1.73959	0.000168287	
1.73983	0.00143236	
1.74008	0.00103634	
1.74032	0.000640322	
1.74057	0.000342925	
1.74081	4.55268e-05	
1.74106	0.000286424	
1.7413	0.000527321	
1.74154	0.0010312	
1.74179	0.00311299	
1.74203	0.00386341	
1.74228	0.001984	
1.74252	0.00178112	
1.74277	0.00157823	
1.74301	0.00110517	
1.74326	0.00221001	
1.7435	0.00331485	
1.74375	0.00284178	
1.74399	0.00223723	
1.74424	0.00163268	
1.74448	0.00135685	
1.74473	0.00265893	
1.74497	0.0027858	
1.74521	0.00291267	
1.74546	0.00271081	
1.7457	0.000931042	
1.74595	0.00303029	
1.74619	0.00512954	
1.74644	0.00328403	
1.74668	0.00143852	
1.74693	0.00148629	
1.74717	0.00311196	
1.74742	0.00503349	
1.74766	0.00379921	
1.74791	0.00146369	
1.74815	0.00228397	
1.74839	0.00244679	
1.74864	0.00260962	
1.74888	0.0022136	
1.74913	0.00181759	
1.74937	0.00142157	
1.74962	0.00102555	
1.74986	0.000761027	
1.75011	0.000496503	
1.75035	0.000231978	
1.7506	-3.25465e-05	
1.75084	-3.30601e-05	
1.75109	-3.35737e-05	
1.75133	0.000754864	
1.75157	0.0015433	
1.75182	0.00188795	
1.75206	0.00223261	
1.75231	0.00126234	
